English,Chinese
中文翻译,常用缩写
Absolute Loss Function,绝对损失函数
Accept-Reject Sampling Method,接受-拒绝抽样法/接受-拒绝采样法
Access Parameters,访问参数
Accuracy,准确率
Acoustic Modeling,声学建模
Action,动作
Actionism,行为主义
Activation Function,激活函数
Actor-Critic Algorithm,演员-评论员算法
Adaptive Bitrate Algorithm,自适应比特率算法
Adversarial,对抗
Adversarial Networks,对抗网络
Affine Layer,仿射层
Affinity Matrix,亲和矩阵
Agglomerative,聚合
Algorithm,算法
Almost Sure,几乎必然
Alpha-Beta Pruning,α-β修剪法
Ambiguity,分歧
Ancestral Sampling,原始采样
Anomaly Detection,异常检测
Aperiodic Graph,非周期性图
Approximate Bayesian Computation,近似贝叶斯计算
Approximate Inference,近似推断
Approximation Error,近似误差
Area Under ROC Curve,AUC（ROC曲线下方面积，度量分类模型好坏的标准）
Artificial General Intelligence,通用人工智能
Association Analysis,关联分析
Associative Memory Model,联想记忆模型
Asynchronous Stochastic Gradient Descent,异步随机梯度下降
Atrous Convolution,空洞卷积
Attention Distribution,注意力分布
Attention Model,注意力模型
Attribute,属性
Attribute Space,属性空间
Augmented Lagrangian,增广拉格朗日法
Autoencoder,自编码器
Autoregressive Generative Model,自回归生成模型
Average Gradient,平均梯度
Average-Pooling,平均汇聚
Back Propagation,反向传播
Back Propagation Through Time,随时间反向传播
Backward,后向
Backward Search,反向搜索
Bandpass Filter,带通滤波器
Base Classifier,基分类器
Base Learning Algorithm,基学习算法
Baseline,基准
Batch,批量
Batch Normalization,批量规范化
Baum-Welch Algorithm,Baum-Welch算法
Bayes Decision Rule,贝叶斯决策准则
Bayes Model Averaging,贝叶斯模型平均
Bayes Risk,贝叶斯风险
Bayes' Theorem,贝叶斯定理
Bayesian Estimation,贝叶斯估计
Bayesian Linear Regression,贝叶斯线性回归
Bayesian Probability,贝叶斯概率
Beam Search,束搜索
Belief Network,信念网/信念网络
Bellman Optimality Equation,贝尔曼最优方程
Best-Arm Problem,最优臂问题
Between-Class Scatter Matrix,类间散度矩阵
Bi-Directional Long-Short Term Memory,双向长短期记忆
Bias,偏差/偏置
Bias-Variance Decomposition,偏差 - 方差分解
Biased,有偏
Bidirectional Language Model,双向语言模型
Bilingual Evaluation Understudy,BLEU
Binary Relation,二元关系
Binomial Distribution,二项分布
Binomial Test,二项检验
Bit,比特
Block Coordinate Descent,块坐标下降
Boilerplate Code,样板代码
Boltzmann Distribution,玻尔兹曼分布
Boltzmann Machine,玻尔兹曼机
Boosting Tree,提升树
Bootstrap Sampling,自助采样法
Bottleneck Layer,瓶颈层
Break-Event Point,平衡点
Broadcasting,广播
Bucketing,分桶
Burning-In,磨合
Calculus of Variations,变分法
Canonical,正则的
Cartesian Coordinate,笛卡尔坐标
Cascade-Correlation,级联相关
Categorical Attribute,分类属性
Causal Factor,因果因子
Cell,单元
Central Limit Theorem,中心极限定理
Channel,通道
Chebyshev Distance,切比雪夫距离
Chordal Graph,弦图
Class,类别
Class-Conditional Probability,类条件概率
Classification,分类
Clip Gradient,梯度截断
Clique,团
Clockwork RNN,时钟循环神经网络
Closed-Form,闭式
Cluster Analysis,聚类分析
Clustering,聚类
Co-Adapting,共适应
Co-Occurrence Frequency,共现词频
Code,编码
Coding Matrix,编码矩阵
Collapsed Gibbs Sampling,收缩的吉布斯抽样
COLT,国际学习理论会议
Column Space,列空间
Committee-Based Learning,基于委员会的学习
Common Parent,同父
Competitive Learning,竞争型学习
Complete Graph,完全图
Complete-Data,完全数据
Component Learner,组件学习器
Comprehensibility,可解释性
Computation Graph,计算图
Computational Linguistics,计算语言学
Concept Class,概念类
Concept Learning System,概念学习系统
Conditional Computation,条件计算
Conditional Independence,条件独立
Conditional Mutual Information,条件互信息
